span_id,line_id,tower_id,voltage_kv,region,component,installation_date,maintenance_period_days,HI_score_last,HI_class_last,HI_trend_per_year,lightning_strikes_1km_annual,lightning_strikes_5km_annual,max_peak_current_kA,lightning_flash_density,lightning_caused_trip,avg_rainfall_mm_year,max_wind_speed_ms,avg_wind_speed_ms,avg_humidity_pct,avg_temperature_c,max_temperature_c,temp_fluctuation_c,pm25_annual_avg,pm25_exceedance_days,coastal_proximity,pollution_severity,row_width_m,encroachment_events_total,encroachment_severity,vegetation_encroachment,last_vegetation_cut_days,total_outage_events,fault_type_most_common,transient_faults,permanent_faults,mttr_hours,event_id,event_type,forecast_month,age_at_forecast_days,forecast_date,forecast_wind_max,forecast_wind_avg,forecast_rain_total,forecast_pressure_min,forecast_humidity_max,forecast_temp_max,forecast_confidence_avg,age_at_forecast_years,fault_to_failure_flag
SP-00001,LINE-NE1,1,230,Northeast,Conductor,2019-09-23,2016,1.63,HI1,0.2951,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,wind,0,0,7.4,FCAST-000001,summer_storm,4,217,2020-04-27,16.38,6.682222222222222,124.4,999.8,98.6,33.68,74.69027777777778,0.5945205479452055,0
SP-00001,LINE-NE1,1,230,Northeast,Conductor,2019-09-23,2016,1.63,HI1,0.2951,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,wind,0,0,7.4,FCAST-000002,southwest_monsoon,7,1404,2023-07-28,11.7,6.445138888888889,156.947,1001.8,100.0,31.7,75.11666666666666,3.8465753424657536,0
SP-00001,LINE-NE1,1,230,Northeast,Conductor,2019-09-23,2016,1.63,HI1,0.2951,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,wind,0,0,7.4,FCAST-000003,heatwave,4,192,2020-04-02,4.68,2.680138888888889,41.895,1004.9,61.7,38.2,74.98055555555555,0.5260273972602739,0
SP-00001,LINE-NE1,1,230,Northeast,Conductor,2019-09-23,2016,1.63,HI1,0.2951,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,wind,0,0,7.4,FCAST-000004,tropical_cyclone,8,1060,2022-08-18,26.33,13.239305555555555,320.057,987.2,100.0,30.7,75.14722222222223,2.904109589041096,0
SP-00001,LINE-NE1,1,230,Northeast,Damper,2019-09-23,2016,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,vegetation,0,0,16.7,FCAST-000001,summer_storm,4,217,2020-04-27,16.38,6.682222222222222,124.4,999.8,98.6,33.68,74.69027777777778,0.5945205479452055,0
SP-00001,LINE-NE1,1,230,Northeast,Damper,2019-09-23,2016,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,vegetation,0,0,16.7,FCAST-000002,southwest_monsoon,7,1404,2023-07-28,11.7,6.445138888888889,156.947,1001.8,100.0,31.7,75.11666666666666,3.8465753424657536,0
SP-00001,LINE-NE1,1,230,Northeast,Damper,2019-09-23,2016,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,vegetation,0,0,16.7,FCAST-000003,heatwave,4,192,2020-04-02,4.68,2.680138888888889,41.895,1004.9,61.7,38.2,74.98055555555555,0.5260273972602739,1
SP-00001,LINE-NE1,1,230,Northeast,Damper,2019-09-23,2016,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,0,vegetation,0,0,16.7,FCAST-000004,tropical_cyclone,8,1060,2022-08-18,26.33,13.239305555555555,320.057,987.2,100.0,30.7,75.14722222222223,2.904109589041096,0
SP-00001,LINE-NE1,1,230,Northeast,Spacer,2019-09-23,2016,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,1,vegetation,0,1,23.5,FCAST-000001,summer_storm,4,217,2020-04-27,16.38,6.682222222222222,124.4,999.8,98.6,33.68,74.69027777777778,0.5945205479452055,0
SP-00001,LINE-NE1,1,230,Northeast,Spacer,2019-09-23,2016,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,51,1,vegetation,0,1,23.5,FCAST-000002,southwest_monsoon,7,1404,2023-07-28,11.7,6.445138888888889,156.947,1001.8,100.0,31.7,75.11666666666666,3.8465753424657536,0
