span_id,line_id,tower_id,voltage_kv,region,component,installation_date,maintenance_date,maintenance_period_days,event_occurred,HI_score_last,HI_class_last,HI_trend_per_year,lightning_strikes_1km_annual,lightning_strikes_5km_annual,max_peak_current_kA,lightning_flash_density,lightning_caused_trip,avg_rainfall_mm_year,max_wind_speed_ms,avg_wind_speed_ms,avg_humidity_pct,avg_temperature_c,max_temperature_c,temp_fluctuation_c,pm25_annual_avg,pm25_exceedance_days,coastal_proximity,pollution_severity,row_width_m,encroachment_events_total,encroachment_severity,vegetation_encroachment,structure_encroachment,encroachment_caused_trip,last_vegetation_cut_days,total_outage_events,fault_type_most_common,transient_faults,permanent_faults,mttr_hours,fault_to_failure_flag,failure_mode
SP-00001,LINE-NE1,1,230,Northeast,Conductor,2019-09-23,,2016,0,1.63,HI1,0.2951,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,0,0,51,0,wind,0,0,7.4,0,
SP-00001,LINE-NE1,1,230,Northeast,Damper,2019-09-23,,2016,0,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,0,0,51,0,vegetation,0,0,16.7,0,
SP-00001,LINE-NE1,1,230,Northeast,Spacer,2019-09-23,,2016,0,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,1,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,0,0,51,1,vegetation,0,1,23.5,0,
SP-00001,LINE-NE1,1,230,Northeast,Insulator,2019-09-23,2022-01-21,851,1,5.0,HI5,2.1445,5.3,31.4,69.9,27.08,6,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,0,0,51,4,equipment_failure,2,2,2.5,1,contamination_flashover
SP-00001,LINE-NE1,1,230,Northeast,Fittings,2019-09-23,,2016,0,2.93,HI2,0.5305,5.3,31.4,69.9,27.08,3,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,0,0,51,1,wind,0,1,4.9,0,
SP-00001,LINE-NE1,1,230,Northeast,Arrester,2019-09-23,,2016,0,5.0,HI5,0.9053,5.3,31.4,69.9,27.08,5,1024.7,29.6,5.8,77.0,27.2,38.6,10.5,80.6,104,inland,b,50,0,none,0,0,0,51,0,equipment_failure,0,0,24.8,0,
SP-00002,LINE-NE1,2,230,Northeast,Conductor,2018-02-07,,2609,0,5.0,HI5,0.6995,12.1,40.6,62.8,28.87,4,869.5,27.5,5.5,71.6,26.5,39.2,12.6,71.1,84,inland,b,25,10,moderate,1,0,1,44,0,unknown,0,0,6.5,0,
SP-00002,LINE-NE1,2,230,Northeast,Damper,2018-02-07,,2609,0,5.0,HI5,0.6995,12.1,40.6,62.8,28.87,2,869.5,27.5,5.5,71.6,26.5,39.2,12.6,71.1,84,inland,b,25,10,moderate,1,0,1,44,3,equipment_failure,1,2,8.7,0,
SP-00002,LINE-NE1,2,230,Northeast,Spacer,2018-02-07,,2609,0,5.0,HI5,0.6995,12.1,40.6,62.8,28.87,5,869.5,27.5,5.5,71.6,26.5,39.2,12.6,71.1,84,inland,b,25,10,moderate,1,0,1,44,0,equipment_failure,0,0,8.9,0,
SP-00002,LINE-NE1,2,230,Northeast,Insulator,2018-02-07,2020-05-01,814,1,5.0,HI5,2.242,12.1,40.6,62.8,28.87,3,869.5,27.5,5.5,71.6,26.5,39.2,12.6,71.1,84,inland,b,25,10,moderate,1,0,1,44,0,wind,0,0,15.0,0,lightning_damage
SP-00002,LINE-NE1,2,230,Northeast,Fittings,2018-02-07,,2609,0,3.86,HI3,0.54,12.1,40.6,62.8,28.87,4,869.5,27.5,5.5,71.6,26.5,39.2,12.6,71.1,84,inland,b,25,10,moderate,1,0,1,44,0,vegetation,0,0,2.6,0,
SP-00002,LINE-NE1,2,230,Northeast,Arrester,2018-02-07,2023-09-25,2056,1,5.0,HI5,0.8876,12.1,40.6,62.8,28.87,6,869.5,27.5,5.5,71.6,26.5,39.2,12.6,71.1,84,inland,b,25,10,moderate,1,0,1,44,1,lightning,0,1,72.0,1,lightning_damage
SP-00003,LINE-NE1,3,230,Northeast,Conductor,2019-05-25,,2137,0,1.62,HI1,0.2767,17.5,69.5,31.2,20.9,4,945.2,30.2,4.7,69.8,31.8,39.5,15.1,64.3,60,inland,b,30,0,none,0,0,0,540,1,equipment_failure,0,1,5.4,0,
SP-00003,LINE-NE1,3,230,Northeast,Damper,2019-05-25,,2137,0,4.5,HI4,0.7686,17.5,69.5,31.2,20.9,5,945.2,30.2,4.7,69.8,31.8,39.5,15.1,64.3,60,inland,b,30,0,none,0,0,0,540,2,overload,1,1,13.4,0,
SP-00003,LINE-NE1,3,230,Northeast,Spacer,2019-05-25,,2137,0,4.24,HI4,0.7242,17.5,69.5,31.2,20.9,4,945.2,30.2,4.7,69.8,31.8,39.5,15.1,64.3,60,inland,b,30,0,none,0,0,0,540,5,wind,3,2,5.5,0,
SP-00003,LINE-NE1,3,230,Northeast,Insulator,2019-05-25,2023-07-20,1517,1,5.0,HI5,1.203,17.5,69.5,31.2,20.9,0,945.2,30.2,4.7,69.8,31.8,39.5,15.1,64.3,60,inland,b,30,0,none,0,0,0,540,1,vegetation,0,1,6.4,1,contamination_flashover
SP-00003,LINE-NE1,3,230,Northeast,Fittings,2019-05-25,,2137,0,4.47,HI4,0.7635,17.5,69.5,31.2,20.9,3,945.2,30.2,4.7,69.8,31.8,39.5,15.1,64.3,60,inland,b,30,0,none,0,0,0,540,1,vegetation,0,1,12.1,0,
SP-00003,LINE-NE1,3,230,Northeast,Arrester,2019-05-25,,2137,0,5.0,HI5,0.854,17.5,69.5,31.2,20.9,2,945.2,30.2,4.7,69.8,31.8,39.5,15.1,64.3,60,inland,b,30,0,none,0,0,0,540,2,vegetation,1,1,24.5,0,
SP-00004,LINE-NE1,4,230,Northeast,Conductor,2020-03-23,,1834,0,2.45,HI2,0.4876,13.3,62.7,78.8,23.31,3,1143.2,15.9,5.1,84.9,29.8,39.1,17.1,72.3,117,inland,b,25,0,none,0,0,0,157,2,lightning,1,1,16.2,0,
SP-00004,LINE-NE1,4,230,Northeast,Damper,2020-03-23,,1834,0,3.03,HI3,0.603,13.3,62.7,78.8,23.31,2,1143.2,15.9,5.1,84.9,29.8,39.1,17.1,72.3,117,inland,b,25,0,none,0,0,0,157,4,wind,2,2,28.3,0,
SP-00004,LINE-NE1,4,230,Northeast,Spacer,2020-03-23,,1834,0,2.65,HI2,0.5274,13.3,62.7,78.8,23.31,4,1143.2,15.9,5.1,84.9,29.8,39.1,17.1,72.3,117,inland,b,25,0,none,0,0,0,157,1,equipment_failure,0,1,13.9,0,
SP-00004,LINE-NE1,4,230,Northeast,Insulator,2020-03-23,2023-10-13,1299,1,5.0,HI5,1.4049,13.3,62.7,78.8,23.31,3,1143.2,15.9,5.1,84.9,29.8,39.1,17.1,72.3,117,inland,b,25,0,none,0,0,0,157,0,lightning,0,0,7.9,0,contamination_flashover
SP-00004,LINE-NE1,4,230,Northeast,Fittings,2020-03-23,,1834,0,4.02,HI4,0.8001,13.3,62.7,78.8,23.31,3,1143.2,15.9,5.1,84.9,29.8,39.1,17.1,72.3,117,inland,b,25,0,none,0,0,0,157,0,equipment_failure,0,0,72.0,0,
SP-00004,LINE-NE1,4,230,Northeast,Arrester,2020-03-23,,1834,0,4.24,HI4,0.8438,13.3,62.7,78.8,23.31,5,1143.2,15.9,5.1,84.9,29.8,39.1,17.1,72.3,117,inland,b,25,0,none,0,0,0,157,0,wind,0,0,23.6,0,
SP-00005,LINE-NE1,5,230,Northeast,Conductor,2020-06-12,,1753,0,3.78,HI3,0.7871,8.8,40.7,62.9,21.56,2,962.5,16.6,3.8,65.5,33.7,41.3,15.6,48.6,14,inland,b,50,1,minor,0,0,0,476,0,equipment_failure,0,0,17.4,0,
SP-00005,LINE-NE1,5,230,Northeast,Damper,2020-06-12,,1753,0,2.32,HI2,0.4831,8.8,40.7,62.9,21.56,2,962.5,16.6,3.8,65.5,33.7,41.3,15.6,48.6,14,inland,b,50,1,minor,0,0,0,476,0,wind,0,0,11.6,0,
SP-00005,LINE-NE1,5,230,Northeast,Spacer,2020-06-12,,1753,0,1.4,HI1,0.2915,8.8,40.7,62.9,21.56,3,962.5,16.6,3.8,65.5,33.7,41.3,15.6,48.6,14,inland,b,50,1,minor,0,0,0,476,1,lightning,0,1,16.8,0,
SP-00005,LINE-NE1,5,230,Northeast,Insulator,2020-06-12,,1753,0,2.95,HI2,0.6142,8.8,40.7,62.9,21.56,3,962.5,16.6,3.8,65.5,33.7,41.3,15.6,48.6,14,inland,b,50,1,minor,0,0,0,476,1,overload,0,1,12.8,0,
SP-00005,LINE-NE1,5,230,Northeast,Fittings,2020-06-12,,1753,0,0.85,HI0,0.177,8.8,40.7,62.9,21.56,4,962.5,16.6,3.8,65.5,33.7,41.3,15.6,48.6,14,inland,b,50,1,minor,0,0,0,476,2,wind,1,1,15.3,0,
SP-00005,LINE-NE1,5,230,Northeast,Arrester,2020-06-12,2025-01-05,1668,1,5.0,HI5,1.0941,8.8,40.7,62.9,21.56,4,962.5,16.6,3.8,65.5,33.7,41.3,15.6,48.6,14,inland,b,50,1,minor,0,0,0,476,0,lightning,0,0,8.2,0,lightning_damage
SP-00006,LINE-NE1,6,230,Northeast,Conductor,2020-01-08,,1909,0,3.3,HI3,0.631,10.6,56.4,40.4,24.13,5,1177.4,29.7,5.5,81.1,28.3,38.7,16.0,76.5,135,inland,b,20,7,moderate,1,0,1,302,0,vegetation,0,0,9.8,0,
SP-00006,LINE-NE1,6,230,Northeast,Damper,2020-01-08,,1909,0,5.0,HI5,0.956,10.6,56.4,40.4,24.13,3,1177.4,29.7,5.5,81.1,28.3,38.7,16.0,76.5,135,inland,b,20,7,moderate,1,0,1,302,0,wind,0,0,28.6,0,
SP-00006,LINE-NE1,6,230,Northeast,Spacer,2020-01-08,,1909,0,3.85,HI3,0.7361,10.6,56.4,40.4,24.13,4,1177.4,29.7,5.5,81.1,28.3,38.7,16.0,76.5,135,inland,b,20,7,moderate,1,0,1,302,1,wind,0,1,26.6,0,
SP-00006,LINE-NE1,6,230,Northeast,Insulator,2020-01-08,,1909,0,5.0,HI5,0.956,10.6,56.4,40.4,24.13,1,1177.4,29.7,5.5,81.1,28.3,38.7,16.0,76.5,135,inland,b,20,7,moderate,1,0,1,302,1,equipment_failure,0,1,9.4,0,
SP-00006,LINE-NE1,6,230,Northeast,Fittings,2020-01-08,,1909,0,3.38,HI3,0.6463,10.6,56.4,40.4,24.13,4,1177.4,29.7,5.5,81.1,28.3,38.7,16.0,76.5,135,inland,b,20,7,moderate,1,0,1,302,0,vegetation,0,0,30.7,0,
SP-00006,LINE-NE1,6,230,Northeast,Arrester,2020-01-08,2024-09-19,1716,1,5.0,HI5,1.0635,10.6,56.4,40.4,24.13,3,1177.4,29.7,5.5,81.1,28.3,38.7,16.0,76.5,135,inland,b,20,7,moderate,1,0,1,302,1,vegetation,0,1,36.2,1,end_of_life
SP-00007,LINE-NE1,7,230,Northeast,Conductor,2018-04-18,,2539,0,2.58,HI2,0.3709,9.3,52.1,33.4,23.75,3,806.8,16.1,3.9,67.4,26.9,40.6,16.0,60.8,79,inland,b,40,22,severe,1,0,2,232,1,vegetation,0,1,24.5,0,
SP-00007,LINE-NE1,7,230,Northeast,Damper,2018-04-18,,2539,0,4.88,HI4,0.7015,9.3,52.1,33.4,23.75,2,806.8,16.1,3.9,67.4,26.9,40.6,16.0,60.8,79,inland,b,40,22,severe,1,0,2,232,1,wind,0,1,6.4,0,
SP-00007,LINE-NE1,7,230,Northeast,Spacer,2018-04-18,2022-03-25,1437,1,5.0,HI5,1.27,9.3,52.1,33.4,23.75,1,806.8,16.1,3.9,67.4,26.9,40.6,16.0,60.8,79,inland,b,40,22,severe,1,0,2,232,6,equipment_failure,3,3,11.5,1,end_of_life
SP-00007,LINE-NE1,7,230,Northeast,Insulator,2018-04-18,,2539,0,5.0,HI5,0.7188,9.3,52.1,33.4,23.75,2,806.8,16.1,3.9,67.4,26.9,40.6,16.0,60.8,79,inland,b,40,22,severe,1,0,2,232,2,overload,1,1,5.1,0,
SP-00007,LINE-NE1,7,230,Northeast,Fittings,2018-04-18,,2539,0,3.44,HI3,0.4945,9.3,52.1,33.4,23.75,5,806.8,16.1,3.9,67.4,26.9,40.6,16.0,60.8,79,inland,b,40,22,severe,1,0,2,232,5,equipment_failure,2,3,5.2,0,
SP-00007,LINE-NE1,7,230,Northeast,Arrester,2018-04-18,2024-02-22,2136,1,5.0,HI5,0.8544,9.3,52.1,33.4,23.75,3,806.8,16.1,3.9,67.4,26.9,40.6,16.0,60.8,79,inland,b,40,22,severe,1,0,2,232,0,wind,0,0,18.4,0,end_of_life
SP-00008,LINE-NE1,8,230,Northeast,Conductor,2019-07-27,,2074,0,2.08,HI2,0.3661,16.3,79.4,62.2,20.29,2,1112.2,25.4,5.1,82.0,30.4,40.2,17.0,48.2,12,inland,b,25,0,none,0,0,0,127,1,vegetation,0,1,3.1,0,
SP-00008,LINE-NE1,8,230,Northeast,Damper,2019-07-27,,2074,0,5.0,HI5,0.8799,16.3,79.4,62.2,20.29,2,1112.2,25.4,5.1,82.0,30.4,40.2,17.0,48.2,12,inland,b,25,0,none,0,0,0,127,1,wind,0,1,11.9,0,
SP-00008,LINE-NE1,8,230,Northeast,Spacer,2019-07-27,,2074,0,5.0,HI5,0.8799,16.3,79.4,62.2,20.29,2,1112.2,25.4,5.1,82.0,30.4,40.2,17.0,48.2,12,inland,b,25,0,none,0,0,0,127,1,equipment_failure,0,1,8.0,0,
SP-00008,LINE-NE1,8,230,Northeast,Insulator,2019-07-27,2024-09-13,1875,1,5.0,HI5,0.9733,16.3,79.4,62.2,20.29,2,1112.2,25.4,5.1,82.0,30.4,40.2,17.0,48.2,12,inland,b,25,0,none,0,0,0,127,0,equipment_failure,0,0,5.3,0,lightning_damage
SP-00008,LINE-NE1,8,230,Northeast,Fittings,2019-07-27,,2074,0,4.15,HI4,0.7304,16.3,79.4,62.2,20.29,4,1112.2,25.4,5.1,82.0,30.4,40.2,17.0,48.2,12,inland,b,25,0,none,0,0,0,127,0,overload,0,0,19.9,0,
SP-00008,LINE-NE1,8,230,Northeast,Arrester,2019-07-27,,2074,0,5.0,HI5,0.8799,16.3,79.4,62.2,20.29,2,1112.2,25.4,5.1,82.0,30.4,40.2,17.0,48.2,12,inland,b,25,0,none,0,0,0,127,1,lightning,0,1,7.7,0,
SP-00009,LINE-NE1,9,230,Northeast,Conductor,2018-12-07,,2306,0,2.87,HI2,0.4543,8.6,32.9,42.6,25.33,2,1248.5,20.0,2.1,79.3,33.2,40.0,14.3,27.5,0,inland,b,40,0,none,0,0,0,155,1,equipment_failure,0,1,64.6,0,
SP-00009,LINE-NE1,9,230,Northeast,Damper,2018-12-07,,2306,0,2.71,HI2,0.4289,8.6,32.9,42.6,25.33,2,1248.5,20.0,2.1,79.3,33.2,40.0,14.3,27.5,0,inland,b,40,0,none,0,0,0,155,1,equipment_failure,0,1,28.6,0,
SP-00009,LINE-NE1,9,230,Northeast,Spacer,2018-12-07,,2306,0,3.51,HI3,0.5556,8.6,32.9,42.6,25.33,1,1248.5,20.0,2.1,79.3,33.2,40.0,14.3,27.5,0,inland,b,40,0,none,0,0,0,155,0,wind,0,0,23.1,0,
SP-00009,LINE-NE1,9,230,Northeast,Insulator,2018-12-07,,2306,0,5.0,HI5,0.7914,8.6,32.9,42.6,25.33,5,1248.5,20.0,2.1,79.3,33.2,40.0,14.3,27.5,0,inland,b,40,0,none,0,0,0,155,1,equipment_failure,0,1,11.5,0,
SP-00009,LINE-NE1,9,230,Northeast,Fittings,2018-12-07,,2306,0,5.0,HI5,0.7914,8.6,32.9,42.6,25.33,4,1248.5,20.0,2.1,79.3,33.2,40.0,14.3,27.5,0,inland,b,40,0,none,0,0,0,155,2,vegetation,1,1,10.4,0,
SP-00009,LINE-NE1,9,230,Northeast,Arrester,2018-12-07,,2306,0,5.0,HI5,0.7914,8.6,32.9,42.6,25.33,3,1248.5,20.0,2.1,79.3,33.2,40.0,14.3,27.5,0,inland,b,40,0,none,0,0,0,155,1,wind,0,1,32.9,0,
SP-00010,LINE-NE1,10,230,Northeast,Conductor,2018-07-24,,2442,0,3.67,HI3,0.5485,11.1,64.5,79.5,27.46,1,852.7,15.1,2.6,67.3,29.8,40.4,16.4,27.5,0,inland,b,50,0,none,0,0,0,601,2,lightning,1,1,9.8,0,
SP-00010,LINE-NE1,10,230,Northeast,Damper,2018-07-24,,2442,0,3.13,HI3,0.4678,11.1,64.5,79.5,27.46,3,852.7,15.1,2.6,67.3,29.8,40.4,16.4,27.5,0,inland,b,50,0,none,0,0,0,601,0,wind,0,0,34.5,0,
SP-00010,LINE-NE1,10,230,Northeast,Spacer,2018-07-24,2024-06-06,2144,1,5.0,HI5,0.8512,11.1,64.5,79.5,27.46,4,852.7,15.1,2.6,67.3,29.8,40.4,16.4,27.5,0,inland,b,50,0,none,0,0,0,601,1,unknown,0,1,3.7,1,physical_damage
SP-00010,LINE-NE1,10,230,Northeast,Insulator,2018-07-24,,2442,0,2.97,HI2,0.4439,11.1,64.5,79.5,27.46,4,852.7,15.1,2.6,67.3,29.8,40.4,16.4,27.5,0,inland,b,50,0,none,0,0,0,601,2,vegetation,1,1,8.7,0,
SP-00010,LINE-NE1,10,230,Northeast,Fittings,2018-07-24,,2442,0,2.31,HI2,0.3453,11.1,64.5,79.5,27.46,1,852.7,15.1,2.6,67.3,29.8,40.4,16.4,27.5,0,inland,b,50,0,none,0,0,0,601,2,vegetation,1,1,9.8,0,
SP-00010,LINE-NE1,10,230,Northeast,Arrester,2018-07-24,2021-03-19,969,1,5.0,HI5,1.8834,11.1,64.5,79.5,27.46,5,852.7,15.1,2.6,67.3,29.8,40.4,16.4,27.5,0,inland,b,50,0,none,0,0,0,601,2,vegetation,1,1,16.5,1,end_of_life
SP-00011,LINE-NE1,11,230,Northeast,Conductor,2020-04-21,,1805,0,4.45,HI4,0.8999,5.3,29.6,75.9,26.11,4,909.0,26.7,5.6,73.0,29.7,41.8,11.2,61.0,50,inland,b,20,4,minor,0,0,0,135,2,overload,1,1,72.0,0,
SP-00011,LINE-NE1,11,230,Northeast,Damper,2020-04-21,,1805,0,3.89,HI3,0.7866,5.3,29.6,75.9,26.11,2,909.0,26.7,5.6,73.0,29.7,41.8,11.2,61.0,50,inland,b,20,4,minor,0,0,0,135,0,equipment_failure,0,0,10.9,0,
SP-00011,LINE-NE1,11,230,Northeast,Spacer,2020-04-21,,1805,0,2.52,HI2,0.5096,5.3,29.6,75.9,26.11,5,909.0,26.7,5.6,73.0,29.7,41.8,11.2,61.0,50,inland,b,20,4,minor,0,0,0,135,0,wind,0,0,3.7,0,
SP-00011,LINE-NE1,11,230,Northeast,Insulator,2020-04-21,,1805,0,5.0,HI5,1.0111,5.3,29.6,75.9,26.11,1,909.0,26.7,5.6,73.0,29.7,41.8,11.2,61.0,50,inland,b,20,4,minor,0,0,0,135,2,vegetation,1,1,10.8,0,
SP-00011,LINE-NE1,11,230,Northeast,Fittings,2020-04-21,,1805,0,3.91,HI3,0.7907,5.3,29.6,75.9,26.11,6,909.0,26.7,5.6,73.0,29.7,41.8,11.2,61.0,50,inland,b,20,4,minor,0,0,0,135,1,lightning,0,1,72.0,0,
SP-00011,LINE-NE1,11,230,Northeast,Arrester,2020-04-21,,1805,0,5.0,HI5,1.0111,5.3,29.6,75.9,26.11,2,909.0,26.7,5.6,73.0,29.7,41.8,11.2,61.0,50,inland,b,20,4,minor,0,0,0,135,0,equipment_failure,0,0,11.9,0,
SP-00012,LINE-NE1,12,230,Northeast,Conductor,2021-05-11,,1420,0,2.04,HI2,0.5244,7.3,26.0,71.7,25.6,3,821.9,26.3,3.9,66.3,32.2,39.8,14.2,50.9,25,inland,b,40,5,moderate,0,0,0,116,0,wind,0,0,3.1,0,
SP-00012,LINE-NE1,12,230,Northeast,Damper,2021-05-11,,1420,0,2.92,HI2,0.7506,7.3,26.0,71.7,25.6,3,821.9,26.3,3.9,66.3,32.2,39.8,14.2,50.9,25,inland,b,40,5,moderate,0,0,0,116,5,vegetation,2,3,14.0,0,
SP-00012,LINE-NE1,12,230,Northeast,Spacer,2021-05-11,2023-12-15,948,1,5.0,HI5,1.9251,7.3,26.0,71.7,25.6,4,821.9,26.3,3.9,66.3,32.2,39.8,14.2,50.9,25,inland,b,40,5,moderate,0,0,0,116,0,equipment_failure,0,0,36.4,0,physical_damage
SP-00012,LINE-NE1,12,230,Northeast,Insulator,2021-05-11,,1420,0,2.53,HI2,0.6503,7.3,26.0,71.7,25.6,2,821.9,26.3,3.9,66.3,32.2,39.8,14.2,50.9,25,inland,b,40,5,moderate,0,0,0,116,0,equipment_failure,0,0,22.2,0,
SP-00012,LINE-NE1,12,230,Northeast,Fittings,2021-05-11,,1420,0,2.44,HI2,0.6272,7.3,26.0,71.7,25.6,4,821.9,26.3,3.9,66.3,32.2,39.8,14.2,50.9,25,inland,b,40,5,moderate,0,0,0,116,1,vegetation,0,1,9.2,0,
SP-00012,LINE-NE1,12,230,Northeast,Arrester,2021-05-11,,1420,0,5.0,HI5,1.2852,7.3,26.0,71.7,25.6,3,821.9,26.3,3.9,66.3,32.2,39.8,14.2,50.9,25,inland,b,40,5,moderate,0,0,0,116,1,lightning,0,1,12.6,0,
