span_id,event_id,region,event_type,forecast_month,age_at_forecast_days,forecast_date,forecast_wind_max,forecast_wind_avg,forecast_rain_total,forecast_pressure_min,forecast_humidity_max,forecast_temp_max,forecast_confidence_avg
SP-00001,FCAST-000001,Northeast,summer_storm,4,217,2020-04-27,16.38,6.682222222222222,124.4,999.8,98.6,33.68,74.69027777777778
SP-00001,FCAST-000002,Northeast,southwest_monsoon,7,1404,2023-07-28,11.7,6.445138888888889,156.947,1001.8,100.0,31.7,75.11666666666666
SP-00001,FCAST-000003,Northeast,heatwave,4,192,2020-04-02,4.68,2.680138888888889,41.895,1004.9,61.7,38.2,74.98055555555555
SP-00001,FCAST-000004,Northeast,tropical_cyclone,8,1060,2022-08-18,26.33,13.239305555555555,320.057,987.2,100.0,30.7,75.14722222222223
SP-00002,FCAST-000005,Northeast,southwest_monsoon,9,941,2020-09-05,11.7,6.416805555555555,158.117,1002.1,100.0,31.7,75.19305555555555
SP-00002,FCAST-000006,Northeast,summer_storm,5,829,2020-05-16,16.38,7.234861111111111,119.458,999.4,100.0,33.39,74.73194444444444
SP-00002,FCAST-000007,Northeast,heatwave,4,1894,2023-04-16,4.68,2.691388888888889,35.995,1005.0,63.7,38.2,74.9625
SP-00002,FCAST-000008,Northeast,tropical_cyclone,9,1675,2022-09-09,26.33,13.417361111111111,314.036,987.0,99.7,30.7,75.69999999999999
SP-00003,FCAST-000009,Northeast,summer_storm,5,1440,2023-05-04,16.38,6.910277777777778,117.67,1000.1,98.0,33.14,74.93194444444445
SP-00003,FCAST-000010,Northeast,southwest_monsoon,8,810,2021-08-12,11.7,6.0055555555555555,165.768,1002.3,98.6,31.7,74.98888888888888
SP-00003,FCAST-000011,Northeast,heatwave,4,1797,2024-04-25,4.68,2.461666666666667,38.953,1004.7,63.1,38.2,75.26666666666667
SP-00003,FCAST-000012,Northeast,tropical_cyclone,8,438,2020-08-05,26.33,13.325277777777778,316.015,986.4,100.0,30.7,75.13749999999999
SP-00004,FCAST-000013,Northeast,southwest_monsoon,7,112,2020-07-13,11.7,6.377916666666667,164.452,1002.0,99.5,31.7,74.83611111111111
