component,covariate,covariate_label,coef,AF,AF_lower_95,AF_upper_95,p,sig,effect
Arrester,HI_score_last,Health Index Score,-0.8178,0.4414,0.376,0.5182,0.0,***,accelerates failure
Arrester,lightning_flash_density,Lightning Flash Density,-0.1146,0.8917,0.8428,0.9436,0.0001,***,accelerates failure
Arrester,voltage_kv,Voltage (kV),0.0325,1.0331,0.9824,1.0863,0.2044,ns,decelerates failure
Arrester,avg_humidity_pct,Avg Humidity (%),0.0294,1.0299,0.9736,1.0893,0.3042,ns,decelerates failure
Arrester,avg_wind_speed_ms,Avg Wind Speed (m/s),0.018,1.0182,0.9684,1.0705,0.4814,ns,decelerates failure
Arrester,pm25_annual_avg,PM2.5 Annual Avg,0.0097,1.0098,0.9568,1.0657,0.7237,ns,decelerates failure
Arrester,encroachment_severity_enc,Encroachment Severity,0.0086,1.0086,0.9612,1.0584,0.7277,ns,decelerates failure
Conductor,HI_score_last,Health Index Score,-0.5537,0.5748,0.513,0.644,0.0,***,accelerates failure
Conductor,lightning_flash_density,Lightning Flash Density,0.0819,1.0854,0.9676,1.2176,0.1622,ns,decelerates failure
Conductor,pm25_annual_avg,PM2.5 Annual Avg,0.0702,1.0727,0.9521,1.2087,0.2489,ns,decelerates failure
Conductor,avg_humidity_pct,Avg Humidity (%),-0.0454,0.9556,0.8537,1.0697,0.4298,ns,accelerates failure
Conductor,encroachment_severity_enc,Encroachment Severity,0.0417,1.0425,0.9351,1.1623,0.4528,ns,decelerates failure
Conductor,voltage_kv,Voltage (kV),0.0368,1.0375,0.9275,1.1604,0.52,ns,decelerates failure
Conductor,avg_wind_speed_ms,Avg Wind Speed (m/s),0.0129,1.013,0.9125,1.1245,0.809,ns,decelerates failure
Damper,HI_score_last,Health Index Score,-0.6841,0.5045,0.4419,0.576,0.0,***,accelerates failure
Damper,avg_humidity_pct,Avg Humidity (%),0.0355,1.0362,0.9555,1.1236,0.3901,ns,decelerates failure
Damper,avg_wind_speed_ms,Avg Wind Speed (m/s),0.0276,1.028,0.9546,1.1071,0.4651,ns,decelerates failure
Damper,pm25_annual_avg,PM2.5 Annual Avg,-0.0196,0.9806,0.9053,1.0622,0.6308,ns,accelerates failure
Damper,encroachment_severity_enc,Encroachment Severity,0.0137,1.0138,0.9417,1.0914,0.7159,ns,decelerates failure
Damper,lightning_flash_density,Lightning Flash Density,0.0134,1.0135,0.9336,1.1002,0.7495,ns,decelerates failure
Damper,voltage_kv,Voltage (kV),-0.0081,0.9919,0.9209,1.0684,0.8304,ns,accelerates failure
Fittings,HI_score_last,Health Index Score,-0.5635,0.5692,0.5082,0.6375,0.0,***,accelerates failure
Fittings,lightning_flash_density,Lightning Flash Density,0.0726,1.0753,0.9634,1.2002,0.1953,ns,decelerates failure
Fittings,pm25_annual_avg,PM2.5 Annual Avg,0.0628,1.0648,0.9487,1.1951,0.2865,ns,decelerates failure
Fittings,avg_humidity_pct,Avg Humidity (%),-0.0525,0.9489,0.8517,1.0571,0.3409,ns,accelerates failure
Fittings,encroachment_severity_enc,Encroachment Severity,-0.0329,0.9676,0.875,1.07,0.521,ns,accelerates failure
Fittings,avg_wind_speed_ms,Avg Wind Speed (m/s),-0.0106,0.9895,0.8953,1.0935,0.8358,ns,accelerates failure
Fittings,voltage_kv,Voltage (kV),-0.0083,0.9917,0.8934,1.1009,0.8759,ns,accelerates failure
Insulator,HI_score_last,Health Index Score,-0.7464,0.4741,0.4106,0.5474,0.0,***,accelerates failure
Insulator,pm25_annual_avg,PM2.5 Annual Avg,-0.1839,0.832,0.7778,0.8901,0.0,***,accelerates failure
Insulator,avg_humidity_pct,Avg Humidity (%),-0.1395,0.8698,0.8112,0.9326,0.0001,***,accelerates failure
Insulator,encroachment_severity_enc,Encroachment Severity,0.0331,1.0336,0.9727,1.0984,0.2861,ns,decelerates failure
Insulator,avg_wind_speed_ms,Avg Wind Speed (m/s),-0.0234,0.9769,0.9206,1.0366,0.4398,ns,accelerates failure
Insulator,lightning_flash_density,Lightning Flash Density,-0.0112,0.9889,0.9224,1.0602,0.7534,ns,accelerates failure
Insulator,voltage_kv,Voltage (kV),0.0008,1.0008,0.9408,1.0646,0.9802,ns,decelerates failure
Spacer,HI_score_last,Health Index Score,-0.6425,0.526,0.4684,0.5906,0.0,***,accelerates failure
Spacer,encroachment_severity_enc,Encroachment Severity,0.0239,1.0242,0.9472,1.1073,0.549,ns,decelerates failure
Spacer,lightning_flash_density,Lightning Flash Density,-0.0141,0.986,0.9051,1.0741,0.7464,ns,accelerates failure
Spacer,pm25_annual_avg,PM2.5 Annual Avg,-0.0116,0.9885,0.908,1.0761,0.789,ns,accelerates failure
Spacer,avg_wind_speed_ms,Avg Wind Speed (m/s),-0.0081,0.9919,0.9172,1.0727,0.8395,ns,accelerates failure
Spacer,voltage_kv,Voltage (kV),0.0025,1.0025,0.9249,1.0865,0.9522,ns,decelerates failure
Spacer,avg_humidity_pct,Avg Humidity (%),0.0006,1.0006,0.9187,1.0898,0.9889,ns,decelerates failure
