component,covariate,covariate_label,TR,TR_lower,TR_upper,coef,se,z,p,sig
Conductor,HI_score_last,Health Index Score,0.5748,0.513,0.644,-0.5537,0.058,-9.544,0.0,***
Conductor,avg_humidity_pct,Avg Humidity (%),0.9556,0.8537,1.0697,-0.0454,0.0575,-0.79,0.4298,ns
Conductor,avg_wind_speed_ms,Avg Wind Speed (m/s),1.013,0.9125,1.1245,0.0129,0.0533,0.242,0.809,ns
Conductor,encroachment_severity_enc,Encroachment Severity,1.0425,0.9351,1.1623,0.0417,0.0555,0.751,0.4528,ns
Conductor,lightning_flash_density,Lightning Flash Density,1.0854,0.9676,1.2176,0.0819,0.0586,1.398,0.1622,ns
Conductor,pm25_annual_avg,PM2.5 Annual Avg,1.0727,0.9521,1.2087,0.0702,0.0609,1.153,0.2489,ns
Conductor,voltage_kv,Voltage (kV),1.0375,0.9275,1.1604,0.0368,0.0572,0.643,0.52,ns
Damper,HI_score_last,Health Index Score,0.5045,0.4419,0.576,-0.6841,0.0676,-10.119,0.0,***
Damper,avg_humidity_pct,Avg Humidity (%),1.0362,0.9555,1.1236,0.0355,0.0413,0.859,0.3901,ns
Damper,avg_wind_speed_ms,Avg Wind Speed (m/s),1.028,0.9546,1.1071,0.0276,0.0378,0.73,0.4651,ns
Damper,encroachment_severity_enc,Encroachment Severity,1.0138,0.9417,1.0914,0.0137,0.0376,0.364,0.7159,ns
Damper,lightning_flash_density,Lightning Flash Density,1.0135,0.9336,1.1002,0.0134,0.0419,0.319,0.7495,ns
Damper,pm25_annual_avg,PM2.5 Annual Avg,0.9806,0.9053,1.0622,-0.0196,0.0408,-0.481,0.6308,ns
Damper,voltage_kv,Voltage (kV),0.9919,0.9209,1.0684,-0.0081,0.0379,-0.214,0.8304,ns
Spacer,HI_score_last,Health Index Score,0.526,0.4684,0.5906,-0.6425,0.0592,-10.861,0.0,***
Spacer,avg_humidity_pct,Avg Humidity (%),1.0006,0.9187,1.0898,0.0006,0.0436,0.014,0.9889,ns
Spacer,avg_wind_speed_ms,Avg Wind Speed (m/s),0.9919,0.9172,1.0727,-0.0081,0.04,-0.203,0.8395,ns
Spacer,encroachment_severity_enc,Encroachment Severity,1.0242,0.9472,1.1073,0.0239,0.0398,0.599,0.549,ns
Spacer,lightning_flash_density,Lightning Flash Density,0.986,0.9051,1.0741,-0.0141,0.0437,-0.323,0.7464,ns
Spacer,pm25_annual_avg,PM2.5 Annual Avg,0.9885,0.908,1.0761,-0.0116,0.0433,-0.268,0.789,ns
Spacer,voltage_kv,Voltage (kV),1.0025,0.9249,1.0865,0.0025,0.0411,0.06,0.9522,ns
Insulator,HI_score_last,Health Index Score,0.4741,0.4106,0.5474,-0.7464,0.0733,-10.179,0.0,***
Insulator,avg_humidity_pct,Avg Humidity (%),0.8698,0.8112,0.9326,-0.1395,0.0356,-3.923,0.0001,***
Insulator,avg_wind_speed_ms,Avg Wind Speed (m/s),0.9769,0.9206,1.0366,-0.0234,0.0303,-0.772,0.4398,ns
Insulator,encroachment_severity_enc,Encroachment Severity,1.0336,0.9727,1.0984,0.0331,0.031,1.067,0.2861,ns
Insulator,lightning_flash_density,Lightning Flash Density,0.9889,0.9224,1.0602,-0.0112,0.0355,-0.314,0.7534,ns
Insulator,pm25_annual_avg,PM2.5 Annual Avg,0.832,0.7778,0.8901,-0.1839,0.0344,-5.344,0.0,***
Insulator,voltage_kv,Voltage (kV),1.0008,0.9408,1.0646,0.0008,0.0316,0.025,0.9802,ns
Fittings,HI_score_last,Health Index Score,0.5692,0.5082,0.6375,-0.5635,0.0578,-9.747,0.0,***
Fittings,avg_humidity_pct,Avg Humidity (%),0.9489,0.8517,1.0571,-0.0525,0.0551,-0.952,0.3409,ns
Fittings,avg_wind_speed_ms,Avg Wind Speed (m/s),0.9895,0.8953,1.0935,-0.0106,0.051,-0.207,0.8358,ns
Fittings,encroachment_severity_enc,Encroachment Severity,0.9676,0.875,1.07,-0.0329,0.0513,-0.642,0.521,ns
Fittings,lightning_flash_density,Lightning Flash Density,1.0753,0.9634,1.2002,0.0726,0.0561,1.295,0.1953,ns
Fittings,pm25_annual_avg,PM2.5 Annual Avg,1.0648,0.9487,1.1951,0.0628,0.0589,1.066,0.2865,ns
Fittings,voltage_kv,Voltage (kV),0.9917,0.8934,1.1009,-0.0083,0.0533,-0.156,0.8759,ns
Arrester,HI_score_last,Health Index Score,0.4414,0.376,0.5182,-0.8178,0.0818,-9.996,0.0,***
Arrester,avg_humidity_pct,Avg Humidity (%),1.0299,0.9736,1.0893,0.0294,0.0286,1.027,0.3042,ns
Arrester,avg_wind_speed_ms,Avg Wind Speed (m/s),1.0182,0.9684,1.0705,0.018,0.0256,0.704,0.4814,ns
Arrester,encroachment_severity_enc,Encroachment Severity,1.0086,0.9612,1.0584,0.0086,0.0246,0.348,0.7277,ns
Arrester,lightning_flash_density,Lightning Flash Density,0.8917,0.8428,0.9436,-0.1146,0.0288,-3.976,0.0001,***
Arrester,pm25_annual_avg,PM2.5 Annual Avg,1.0098,0.9568,1.0657,0.0097,0.0275,0.353,0.7237,ns
Arrester,voltage_kv,Voltage (kV),1.0331,0.9824,1.0863,0.0325,0.0256,1.269,0.2044,ns
