span_id,component,region,event_type,forecast_date,failure_prob,RUL_days,risk_score,risk_level
SP-00003,Conductor,Northeast,heatwave,2024-04-25,0.035,29487.8,0.21970228721025883,Low
SP-00003,Damper,Northeast,heatwave,2024-04-25,0.07,2791.1,0.42294662720964443,Medium
SP-00003,Spacer,Northeast,heatwave,2024-04-25,0.07,3752.2,0.41638570263194724,Medium
SP-00003,Insulator,Northeast,heatwave,2024-04-25,0.075,1553.1,0.43439780255787996,Medium
SP-00003,Fittings,Northeast,heatwave,2024-04-25,0.085,6688.5,0.4053411257538988,Medium
SP-00003,Arrester,Northeast,heatwave,2024-04-25,0.085,163.1,0.4498866020199538,Medium
SP-00005,Conductor,Northeast,tropical_cyclone,2024-11-14,0.265,10342.5,0.48839718817518096,Medium
SP-00005,Damper,Northeast,tropical_cyclone,2024-11-14,0.195,14986.0,0.4146984541448646,Medium
SP-00005,Spacer,Northeast,tropical_cyclone,2024-11-14,0.13,25804.1,0.3018489710796411,Medium
SP-00005,Insulator,Northeast,tropical_cyclone,2024-11-14,0.24,12011.1,0.46200653293603255,Medium
SP-00005,Fittings,Northeast,tropical_cyclone,2024-11-14,0.18,44802.8,0.2021548312666182,Low
SP-00005,Arrester,Northeast,tropical_cyclone,2024-11-14,0.445,545.7,0.6632747929018319,High
SP-00006,Conductor,Northeast,southwest_monsoon,2024-08-18,0.16,14254.3,0.39869338548759803,Medium
SP-00006,Damper,Northeast,southwest_monsoon,2024-08-18,0.15,2175.5,0.47514900487068956,Medium
SP-00006,Spacer,Northeast,southwest_monsoon,2024-08-18,0.165,5565.9,0.46100452595254926,Medium
SP-00006,Insulator,Northeast,southwest_monsoon,2024-08-18,0.21,484.2,0.5226946210794704,High
SP-00006,Fittings,Northeast,southwest_monsoon,2024-08-18,0.175,11591.5,0.42587092160818085,Medium
SP-00006,Arrester,Northeast,southwest_monsoon,2024-08-18,0.175,613.7,0.500810592640378,High
SP-00008,Conductor,Northeast,heatwave,2024-04-09,0.045,20603.3,0.2863520993115501,Low
SP-00008,Damper,Northeast,heatwave,2024-04-09,0.055,1934.2,0.4197962331514078,Medium
SP-00008,Spacer,Northeast,heatwave,2024-04-09,0.045,1886.6,0.4141211733344256,Medium
SP-00008,Insulator,Northeast,heatwave,2024-04-09,0.05,835.0,0.42429989384832256,Medium
SP-00008,Fittings,Northeast,heatwave,2024-04-09,0.08,6881.6,0.40102293354085816,Medium
