# Section 1: Concordance Index Comparison
component,Cox_C,AFT_C,delta_C,better_model
Conductor,0.9096,0.9209,0.0113,AFT
Damper,0.7505,0.7539,0.0034,AFT
Spacer,0.7954,0.8019,0.0065,AFT
Insulator,0.7346,0.7388,0.0042,AFT
Fittings,0.8852,0.8981,0.0129,AFT
Arrester,0.6943,0.702,0.0077,AFT

# Section 2: Covariate Significance Comparison
component,covariate_label,Cox_C,AFT_C,Delta_C,Cox_HR,Cox_p,Cox_sig,AFT_AF,AFT_p,AFT_sig,agreement,direction_consistent,note,Cox_HR_lower,Cox_HR_upper,AFT_AF_lower,AFT_AF_upper
Arrester,Health Index Score,0.6943,0.702,0.0077,2.2179,1.7292983316166137e-18,***,0.4414,0.0,***,Both,True,Significant in both; direction consistent,1.8563,2.6498,0.376,0.5182
Arrester,Lightning Flash Density,0.6943,0.702,0.0077,1.2209,5.3258083393166215e-06,***,0.8917,0.0001,***,Both,True,Significant in both; direction consistent,1.1204,1.3305,0.8428,0.9436
Arrester,Avg Humidity (%),0.6943,0.702,0.0077,0.9395,0.1553352963316663,ns,1.0299,0.3042,ns,Neither,True,No significant effect in either model,0.8619,1.024,0.9736,1.0893
Arrester,Voltage (kV),0.6943,0.702,0.0077,0.9513,0.21712329888526163,ns,1.0331,0.2044,ns,Neither,True,No significant effect in either model,0.8787,1.0298,0.9824,1.0863
Arrester,Avg Wind Speed (m/s),0.6943,0.702,0.0077,0.9645,0.37289920285115463,ns,1.0182,0.4814,ns,Neither,True,No significant effect in either model,0.8907,1.0443,0.9684,1.0705
Arrester,Encroachment Severity,0.6943,0.702,0.0077,0.9868,0.7368072847406271,ns,1.0086,0.7277,ns,Neither,True,No significant effect in either model,0.9131,1.0664,0.9612,1.0584
Arrester,PM2.5 Annual Avg,0.6943,0.702,0.0077,1.0013,0.9760959832162753,ns,1.0098,0.7237,ns,Neither,True,No significant effect in either model,0.9213,1.0882,0.9568,1.0657
Conductor,Health Index Score,0.9096,0.9209,0.0113,1.6459,1.8677311869156145e-14,***,0.5748,0.0,***,Both,True,Significant in both; direction consistent,1.4489,1.8697,0.513,0.644
Conductor,Lightning Flash Density,0.9096,0.9209,0.0113,0.9016,0.11422068639816568,ns,1.0854,0.1622,ns,Neither,True,No significant effect in either model,0.7929,1.0253,0.9676,1.2176
Conductor,PM2.5 Annual Avg,0.9096,0.9209,0.0113,0.9161,0.19057580361706597,ns,1.0727,0.2489,ns,Neither,True,No significant effect in either model,0.8035,1.0445,0.9521,1.2087
