group,model,param_name,param_value
Conductor,Weibull,lambda_,9793.5764
Conductor,Weibull,rho_,1.8569
Conductor,Exponential,lambda_,38527.7079
Conductor,LogLogistic,alpha_,9437.7031
Conductor,LogLogistic,beta_,1.8836
Conductor,LogNormal,mu_,9.7474
Conductor,LogNormal,sigma_,1.3155
Conductor,GeneralizedGamma,mu_,9.1041
Conductor,GeneralizedGamma,ln_sigma_,-1.4829
Conductor,GeneralizedGamma,lambda_,2.4073
Damper,Weibull,lambda_,5593.4471
Damper,Weibull,rho_,1.6892
Damper,Exponential,lambda_,11722.5828
Damper,LogLogistic,alpha_,5079.3448
Damper,LogLogistic,beta_,1.7662
Damper,LogNormal,mu_,8.7697
Damper,LogNormal,sigma_,1.1836
Damper,GeneralizedGamma,mu_,8.616
Damper,GeneralizedGamma,ln_sigma_,-1.5546
Damper,GeneralizedGamma,lambda_,2.9386
Spacer,Weibull,lambda_,6294.8771
Spacer,Weibull,rho_,1.7196
Spacer,Exponential,lambda_,14691.0726
Spacer,LogLogistic,alpha_,5824.9256
Spacer,LogLogistic,beta_,1.7786
Spacer,LogNormal,mu_,8.9755
Spacer,LogNormal,sigma_,1.2222
Spacer,GeneralizedGamma,mu_,8.72
Spacer,GeneralizedGamma,ln_sigma_,-1.6323
Spacer,GeneralizedGamma,lambda_,3.0823
Insulator,Weibull,lambda_,4272.7442
Insulator,Weibull,rho_,1.6297
Insulator,Exponential,lambda_,7183.0796
Insulator,LogLogistic,alpha_,3745.6178
Insulator,LogLogistic,beta_,1.74
Insulator,LogNormal,mu_,8.3538
Insulator,LogNormal,sigma_,1.1236
Insulator,GeneralizedGamma,mu_,8.4164
Insulator,GeneralizedGamma,ln_sigma_,-1.7753
Insulator,GeneralizedGamma,lambda_,3.8912
Fittings,Weibull,lambda_,9431.7743
Fittings,Weibull,rho_,1.7466
Fittings,Exponential,lambda_,30424.2129
Fittings,LogLogistic,alpha_,9004.278
Fittings,LogLogistic,beta_,1.7777
Fittings,LogNormal,mu_,9.6523
Fittings,LogNormal,sigma_,1.353
Fittings,GeneralizedGamma,mu_,9.0689
Fittings,GeneralizedGamma,ln_sigma_,-1.4241
Fittings,GeneralizedGamma,lambda_,2.4218
Arrester,Weibull,lambda_,3325.9461
Arrester,Weibull,rho_,1.9443
Arrester,Exponential,lambda_,5749.8328
Arrester,LogLogistic,alpha_,2906.7992
Arrester,LogLogistic,beta_,2.1325
Arrester,LogNormal,mu_,8.0551
Arrester,LogNormal,sigma_,0.9091
Arrester,GeneralizedGamma,mu_,8.1159
Arrester,GeneralizedGamma,ln_sigma_,-0.9275
Arrester,GeneralizedGamma,lambda_,1.4089
