,,test_statistic,p,-log2(p)
Arrester,Conductor,369.5083521028857,2.3946457820219288e-82,271.13829151366
Arrester,Damper,97.74737092454998,4.753142853762871e-23,74.15546442050858
Arrester,Fittings,321.0632659747511,8.49767414181028e-72,236.0917548098449
Arrester,Insulator,12.716242328180781,0.0003624934027202962,11.429757640833802
Arrester,Spacer,153.2727485953887,3.339369202078961e-35,114.52790771386134
Conductor,Damper,103.16537302922707,3.0830795003210385e-24,78.10190218602217
Conductor,Fittings,2.6504481615601585,0.1035207074915249,3.272008712600539
Conductor,Insulator,255.08144699601056,2.0261985169273204e-57,188.33112587937836
Conductor,Spacer,60.814273072275626,6.272151873885885e-15,47.179960930016556
Damper,Fittings,75.06620794981572,4.551908104902173e-18,57.60823427553456
Damper,Insulator,40.16743682505774,2.33101549306121e-10,31.998322355522976
Damper,Spacer,6.5414552765090965,0.010538910256375376,6.568130492534214
Fittings,Insulator,213.31323338392318,2.6003898010138103e-48,158.07382065370967
Fittings,Spacer,39.06339966857481,4.1026358208557675e-10,31.182729852835667
Insulator,Spacer,78.90453553413032,6.518493119257259e-19,60.412095307825886
