group,model,AIC,LLV,delta_AIC,rank
Arrester,Weibull,9375.42,-4685.7087,0.0,1
Arrester,GeneralizedGamma,9376.6,-4685.302,1.180000000000291,2
Arrester,LogLogistic,9381.4,-4688.7014,5.979999999999563,3
Arrester,LogNormal,9393.23,-4694.614,17.80999999999949,4
Arrester,Exponential,9581.67,-4789.8353,206.25,5
Conductor,Weibull,1870.99,-933.497,0.0,1
Conductor,LogLogistic,1871.16,-933.5817,0.17000000000007276,2
Conductor,LogNormal,1872.78,-934.3894,1.7899999999999636,3
Conductor,GeneralizedGamma,1872.84,-933.4202,1.849999999999909,4
Conductor,Exponential,1897.7,-947.8489,26.710000000000036,5
Damper,Weibull,5246.08,-2621.0377,0.0,1
Damper,LogNormal,5246.77,-2621.3844,0.6900000000005093,2
Damper,LogLogistic,5246.95,-2621.4761,0.8699999999998909,3
Damper,GeneralizedGamma,5247.69,-2620.8469,1.6099999999996726,4
Damper,Exponential,5311.07,-2654.5337,64.98999999999978,5
Fittings,Weibull,2306.83,-1151.416,0.0,1
Fittings,LogLogistic,2307.1,-1151.5499,0.2699999999999818,2
Fittings,GeneralizedGamma,2308.6,-1151.2994,1.7699999999999818,3
Fittings,LogNormal,2308.86,-1152.4305,2.0300000000002,4
Fittings,Exponential,2334.54,-1166.2684,27.710000000000036,5
Insulator,GeneralizedGamma,7851.28,-3922.642,0.0,1
Insulator,Weibull,7853.15,-3924.5733,1.8699999999998909,2
Insulator,LogNormal,7856.3,-3926.1475,5.020000000000437,3
Insulator,LogLogistic,7858.1,-3927.0499,6.8200000000006185,4
Insulator,Exponential,7945.1,-3971.5524,93.82000000000062,5
Spacer,Weibull,4353.84,-2174.9201,0.0,1
Spacer,GeneralizedGamma,4354.5,-2174.2511,0.6599999999998545,2
Spacer,LogLogistic,4355.35,-2175.6745,1.5100000000002183,3
Spacer,LogNormal,4357.92,-2176.9623,4.079999999999927,4
Spacer,Exponential,4409.52,-2203.759,55.68000000000029,5
