span_id,line_id,component,installation_date,maintenance_period_days,HI_score_last,HI_class_last,RUL_days,predicted_lifetime_days,lightning_flash_density,region
SP-00356,LINE-NE2,Arrester,2018-10-15,2359,5.0,HI5,0.0,2249.7,21.7,Northeast
SP-00289,LINE-NE2,Insulator,2019-09-07,2032,5.0,HI5,0.0,2001.5,27.92,Northeast
SP-00290,LINE-NE2,Insulator,2018-04-29,2528,5.0,HI5,0.0,2156.3,29.28,Northeast
SP-00293,LINE-NE2,Arrester,2018-03-02,2586,5.0,HI5,0.0,2291.8,21.87,Northeast
SP-00296,LINE-NE2,Arrester,2018-02-05,1991,5.0,HI5,0.0,1951.6,29.3,Northeast
SP-00303,LINE-NE2,Arrester,2018-01-08,2639,5.0,HI5,0.0,1947.2,29.84,Northeast
SP-00305,LINE-NE2,Arrester,2019-08-04,2066,5.0,HI5,0.0,2039.0,25.94,Northeast
SP-00306,LINE-NE2,Insulator,2018-06-15,2481,5.0,HI5,0.0,2382.1,21.25,Northeast
SP-00331,LINE-NE2,Arrester,2019-01-28,2172,5.0,HI5,0.0,2100.5,26.98,Northeast
SP-00286,LINE-NE2,Arrester,2019-02-19,2232,5.0,HI5,0.0,2194.9,23.37,Northeast
SP-00346,LINE-NE2,Arrester,2019-08-13,2057,5.0,HI5,0.0,1987.5,27.28,Northeast
SP-00361,LINE-NE2,Arrester,2018-06-30,2466,5.0,HI5,0.0,2147.1,24.37,Northeast
SP-00368,LINE-NE2,Arrester,2018-11-08,2335,5.0,HI5,0.0,2103.3,25.53,Northeast
SP-00378,LINE-NE2,Arrester,2018-04-01,2556,5.0,HI5,0.0,1862.2,29.53,Northeast
SP-00387,LINE-NE2,Arrester,2018-08-08,2427,5.0,HI5,0.0,1934.6,28.19,Northeast
SP-00390,LINE-NE2,Arrester,2018-04-25,2077,5.0,HI5,0.0,2019.2,25.74,Northeast
SP-00391,LINE-NE2,Arrester,2019-10-08,2001,5.0,HI5,0.0,1967.6,26.06,Northeast
SP-00393,LINE-NE2,Arrester,2019-12-09,1939,5.0,HI5,0.0,1915.5,28.59,Northeast
SP-00411,LINE-NE2,Arrester,2019-08-09,2061,5.0,HI5,0.0,1927.6,29.14,Northeast
SP-00359,LINE-NE2,Arrester,2018-09-13,2391,5.0,HI5,0.0,2171.7,21.82,Northeast
SP-00417,LINE-NE2,Arrester,2018-10-30,2104,5.0,HI5,0.0,1957.6,26.78,Northeast
SP-00285,LINE-NE2,Arrester,2019-08-28,2042,5.0,HI5,0.0,1963.0,27.44,Northeast
SP-00278,LINE-NE2,Arrester,2018-06-18,2415,5.0,HI5,0.0,2028.0,27.52,Northeast
SP-00197,LINE-NE1,Arrester,2018-06-05,2491,5.0,HI5,0.0,2308.8,23.55,Northeast
SP-00205,LINE-NE1,Arrester,2018-10-06,2368,5.0,HI5,0.0,2188.1,22.13,Northeast
SP-00207,LINE-NE1,Insulator,2018-05-01,2526,5.0,HI5,0.0,2405.6,23.66,Northeast
SP-00210,LINE-NE1,Arrester,2019-02-21,2230,5.0,HI5,0.0,2055.1,27.6,Northeast
SP-00213,LINE-NE2,Insulator,2018-03-11,2577,5.0,HI5,0.0,2187.4,28.9,Northeast
SP-00213,LINE-NE2,Arrester,2018-03-11,2577,5.0,HI5,0.0,2029.0,28.9,Northeast
SP-00214,LINE-NE2,Arrester,2018-01-01,2646,5.0,HI5,0.0,2092.1,25.12,Northeast
SP-00217,LINE-NE2,Arrester,2018-05-03,2524,5.0,HI5,0.0,1953.6,29.52,Northeast
SP-00280,LINE-NE2,Arrester,2019-07-29,2072,5.0,HI5,0.0,2055.3,27.5,Northeast
SP-00228,LINE-NE2,Arrester,2018-05-04,2523,5.0,HI5,0.0,2271.9,21.81,Northeast
SP-00253,LINE-NE2,Arrester,2019-03-15,2208,5.0,HI5,0.0,2193.9,21.77,Northeast
SP-00254,LINE-NE2,Arrester,2018-02-02,2614,5.0,HI5,0.0,1991.1,29.02,Northeast
SP-00258,LINE-NE2,Arrester,2018-02-17,2384,5.0,HI5,0.0,2272.6,20.42,Northeast
SP-00260,LINE-NE2,Arrester,2019-11-12,1966,5.0,HI5,0.0,1904.2,29.11,Northeast
SP-00262,LINE-NE2,Arrester,2018-10-09,2365,5.0,HI5,0.0,2310.9,21.37,Northeast
SP-00267,LINE-NE2,Arrester,2019-01-28,2254,5.0,HI5,0.0,2141.1,21.75,Northeast
SP-00268,LINE-NE2,Arrester,2018-03-09,2579,5.0,HI5,0.0,1910.1,29.49,Northeast
SP-00269,LINE-NE2,Arrester,2019-02-22,2189,5.0,HI5,0.0,1959.9,25.61,Northeast
SP-01239,LINE-C2,Arrester,2018-03-18,2570,5.0,HI5,0.0,2498.2,17.4,Central
SP-00197,LINE-NE1,Insulator,2018-06-05,2491,5.0,HI5,0.0,2477.4,23.55,Northeast
SP-00440,LINE-N1,Insulator,2018-07-17,2449,5.0,HI5,0.0,2387.6,16.31,North
SP-00467,LINE-N1,Insulator,2018-03-17,2571,5.0,HI5,0.0,2230.2,20.87,North
SP-00667,LINE-N2,Insulator,2019-03-13,2210,5.0,HI5,0.0,2031.4,24.39,North
SP-00670,LINE-N2,Arrester,2018-03-19,2569,5.0,HI5,0.0,2270.0,21.22,North
SP-00675,LINE-N2,Insulator,2019-02-15,2236,5.0,HI5,0.0,1830.2,17.8,North
SP-00713,LINE-N2,Arrester,2018-01-09,2484,5.0,HI5,0.0,2391.2,18.86,North
SP-00721,LINE-N2,Arrester,2018-02-09,2607,5.0,HI5,0.0,2546.6,16.38,North
SP-00733,LINE-N2,Arrester,2018-11-19,2324,5.0,HI5,0.0,2186.7,24.62,North
SP-00736,LINE-N2,Insulator,2018-04-03,2554,5.0,HI5,0.0,1946.7,18.01,North
SP-00741,LINE-N2,Insulator,2018-12-17,2296,5.0,HI5,0.0,1901.9,20.21,North
SP-00665,LINE-N2,Arrester,2018-10-31,2343,5.0,HI5,0.0,2270.7,20.67,North
SP-00744,LINE-N2,Insulator,2018-10-20,2354,5.0,HI5,0.0,2215.8,18.2,North
SP-00768,LINE-N2,Arrester,2018-06-18,2478,5.0,HI5,0.0,2400.1,22.65,North
SP-00772,LINE-N2,Insulator,2018-09-04,2400,5.0,HI5,0.0,2234.2,17.0,North
SP-00786,LINE-N2,Arrester,2018-04-19,2538,5.0,HI5,0.0,2396.9,22.17,North
SP-00852,LINE-C1,Insulator,2018-05-02,2505,5.0,HI5,0.0,2480.1,19.83,Central
SP-00804,LINE-N2,Insulator,2018-06-28,2261,5.0,HI5,0.0,1760.5,22.1,North
SP-00804,LINE-N2,Arrester,2018-06-28,2468,5.0,HI5,0.0,2460.0,22.1,North
SP-00839,LINE-N2,Arrester,2018-04-14,2543,5.0,HI5,0.0,2455.3,19.2,North
SP-00817,LINE-N2,Insulator,2018-09-08,2396,5.0,HI5,0.0,2090.9,20.84,North
SP-00768,LINE-N2,Insulator,2018-06-18,2478,5.0,HI5,0.0,2321.3,22.65,North
SP-00450,LINE-N1,Insulator,2018-01-18,2629,5.0,HI5,0.0,2552.6,15.03,North
SP-00663,LINE-N2,Arrester,2018-04-09,2548,5.0,HI5,0.0,2411.3,21.32,North
SP-00639,LINE-N2,Arrester,2018-04-01,2556,5.0,HI5,0.0,2386.5,23.03,North
SP-00476,LINE-N1,Insulator,2018-03-30,2558,5.0,HI5,0.0,2359.7,15.43,North
SP-00516,LINE-N1,Arrester,2018-04-08,2549,5.0,HI5,0.0,2428.9,21.89,North
SP-00535,LINE-N1,Insulator,2018-05-10,2517,5.0,HI5,0.0,2315.7,24.47,North
SP-00535,LINE-N1,Arrester,2018-05-10,2517,5.0,HI5,0.0,2368.1,24.47,North
SP-00553,LINE-N1,Arrester,2018-01-31,2616,5.0,HI5,0.0,2499.9,22.89,North
SP-00561,LINE-N1,Insulator,2019-07-12,2089,5.0,HI5,0.0,1794.2,15.72,North
SP-00565,LINE-N1,Insulator,2019-02-03,2248,5.0,HI5,0.0,1987.1,16.11,North
SP-00571,LINE-N1,Insulator,2019-05-10,2152,5.0,HI5,0.0,2140.6,23.7,North
SP-00663,LINE-N2,Insulator,2018-04-09,2548,5.0,HI5,0.0,2462.0,21.32,North
