span_id,event_id,component,region,event_type,forecast_date,age_at_forecast_days,forecast_wind_max,forecast_wind_avg,forecast_rain_total,forecast_pressure_min,forecast_humidity_max,forecast_temp_max,forecast_confidence_avg,RUL_days,failure_prob,risk_score,risk_level
SP-00188,FCAST-000750,Insulator,Northeast,tropical_cyclone,2024-09-30,1204,26.33,13.497083333333332,315.606,987.3,100.0,30.7,75.11666666666666,2851.3,0.695,0.7975356734487691,Critical
SP-00188,FCAST-000750,Arrester,Northeast,tropical_cyclone,2024-09-30,1204,26.33,13.497083333333332,315.606,987.3,100.0,30.7,75.11666666666666,983.7,0.605,0.7562847971001136,Critical
SP-00188,FCAST-000750,Damper,Northeast,tropical_cyclone,2024-09-30,1204,26.33,13.497083333333332,315.606,987.3,100.0,30.7,75.11666666666666,2366.1,0.6,0.7438478788437317,Critical
SP-00097,FCAST-000388,Damper,Northeast,tropical_cyclone,2024-10-02,1946,26.33,13.379166666666666,317.866,987.3,100.0,30.7,74.30416666666666,3466.8,0.605,0.7393339784351673,Critical
SP-00540,FCAST-002157,Insulator,North,tropical_cyclone,2024-10-30,1411,30.38,15.327777777777776,263.804,984.2,100.0,28.6,74.73611111111111,1761.0,0.57,0.7299785785232288,Critical
SP-00216,FCAST-000864,Arrester,Northeast,tropical_cyclone,2024-10-29,1463,26.33,13.096805555555555,320.582,987.1,100.0,30.7,75.16527777777777,1856.1,0.565,0.7263293808046365,Critical
SP-00115,FCAST-000459,Insulator,Northeast,tropical_cyclone,2024-10-24,1141,26.33,13.412638888888887,318.954,987.9,100.0,30.7,75.15972222222223,2397.4,0.565,0.7226342101939742,Critical
SP-00887,FCAST-003545,Insulator,Central,tropical_cyclone,2024-08-02,979,23.62,12.01375,226.295,988.2,100.0,32.0,75.04722222222222,2393.0,0.555,0.7166642466814801,Critical
SP-00416,FCAST-001664,Arrester,Northeast,tropical_cyclone,2024-11-04,1511,26.33,13.499305555555557,323.63,987.7,100.0,30.7,74.95555555555556,1343.1,0.53,0.7088313621888408,Critical
SP-00374,FCAST-001494,Arrester,Northeast,tropical_cyclone,2024-10-16,1725,26.33,13.579305555555557,317.724,987.2,100.0,30.7,74.85555555555555,89.3,0.51,0.70539039583312,Critical
SP-00390,FCAST-001557,Arrester,Northeast,tropical_cyclone,2024-08-28,2317,26.33,13.560555555555556,315.289,986.6,100.0,30.7,75.02361111111111,0.0,0.505,0.7030000000000001,Critical
